,UEI,Start Date,End Date,Duration(Days),Main Cause,Districts,State,Extent of damage ,Event Source
563,UEI-IMD-FL-1967-0001,02/07/1967 00:00,08/07/1967 00:00,7,flood,,Assam,,IMD
564,UEI-IMD-FL-1967-0002,22/07/1967 00:00,28/07/1967 00:00,7,flood,,"Maharastra, Gujarat",,IMD
565,UEI-IMD-FL-1967-0003,01/08/1967 00:00,30/08/1967 00:00,30,flood,,Uttar Pradesh,,IMD
566,UEI-IMD-FL-1967-0004,08/09/1967 00:00,09/09/1967 00:00,2,flood,"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Baudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagapur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Debagarh, Sambalpur, Pashchim Champaran, Purba Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Shrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagarnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar, Auraiya, Faizabad, Kanpur Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipur, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh, Burhanpur, Morena, Bhind, Gwalior, Sheopur, Shivpuri, Tikamgarh, Neemuch, Rewa, Satna, Guna, Ashoknagar, Mandsaur, Singrauli, Sidhi, Sagar, Damoh, Shajapur, Vidisha, Rajgarh, Shahdol, Katni, Umaria, Ratlam, Bhopal, Ujjain, Raisen, Sehore, Jabalpur, Dewas, Anuppur, Jhabua, Dindori, Narsimhapur, Dhar, Indore, Mandla, Hoshangabad, Seoni, Alirajpur, Chhindwara, Harda, West Nimar, East Nimar, Balaghat, Barwani, Agar Malwa, Datia, Chhatarpur, Panna, Betul, Niwari, Churu, Jhunjhunun, Jaisalmer, Sikar, Alwar, Jaipur, Jodhpur, Bharatpur, Nagaur, Dausa, Karauli, Dhaulpur, Barmer, Sawai Madhopur, Tonk, Pali, Bhilwara, Jalor, Bundi, Kota, Sirohi, Baran, Udaipur, Jhalawar, Dungarpur, Banswara, Ajmer, Rajsamand, Chittaurgarh, Ganganagar, Hanumangarh, Bikaner, Pratapgarh, Jhajjar, Gurugram, Faridabad, Mahendragarh, Rewari, Nuh, Palwal, Charki Dadri, Yamunanagar, Kurukshetra, Kaithal, Sirsa, Karnal, Jind, Fatehabad, Hisar, Panipat, Sonipat, Bhiwani, Rohtak, Panchkula, Ambala","Odisha, Bihar, Uttar Pradesh, Madhya Pradesh, Rajasthan, Haryana",Marooning of Barwer Express,IMD
567,UEI-IMD-FL-1968-0001,22/06/1968 00:00,28/06/1968 00:00,7,flood,,Assam,"Affecting about one million people,an area of over 5,00,000 hectares including cropped area of 81,000 hectares",IMD
568,UEI-IMD-FL-1968-0002,08/06/1968 00:00,12/06/1968 00:00,5,"heavy rains, floods",,West Bengal,"Causing floods in West Bengal, Kolkata recieved 18cms of rain on 9th the heaviest fall in July in last 50 years. On the same day Krishnanagar had 26cms. Bagati 24cms,Jamshedpur 18 cms",IMD
569,UEI-IMD-FL-1968-0003,01/07/1968 00:00,30/07/1968 00:00,30,floods,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur, Churu, Jhunjhununn, Jaisalmer, Sikar, Alwar, Jaipur, Jodhpur, Bharatpur, Nagaur, Dausa, Karauli, Dhaulpur, Barmer, Sawai Madhopur, Tonk, Pali, Bhilwara, Jalor, Bundi, Kota, Sirohi, Baran, Udaipur, Jhalawar, Dungarpur, Banswara, Ajmer, Rajsamand, Chittaurgarh, Ganganagar, Hanumangarh, Bikaner, Pratapgarh, Jhajjar, Gurugram, Faridabad, Mahendragarh, Rewari, Nuh, Palwal, Charki Dadri, Yamunanagar, Kurukshetra, Kaithal, Sirsa, Karnal, Jind, Fatehabad, Hisar, Panipat, Sonipat, Bhiwani, Rohtak, Panchkula, Ambala, Pashchim Champaran, Purba Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Shrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagarnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar, Auraiya, Faizabad, Kanpur Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipur, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh","Kerala, Rajasthan, Haryana, Uttar Pradesh, Bihar",One passenger train was marooned in flood waters near Makrana in Rajasthan.,IMD
570,UEI-IMD-FL-1968-0004,18/07/1968 00:00,18/07/1968 00:00,1,cloud burst,,Uttar Pradesh,Completely wiped out,IMD
571,UEI-IMD-FL-1968-0005,01/08/1968 00:00,08/08/1968 00:00,8,severe floods,Surat,Gujarat,Rail amd road communications with Mumbai were cut off for nearly a month,IMD
572,UEI-IMD-FL-1968-0006,01/10/1968 00:00,08/10/1968 00:00,8,floods,"Darjiling, Jalpaiguri, Cooch Behar",West Bengal,,IMD
573,UEI-IMD-FL-1968-0007,03/10/1968 00:00,05/10/1968 00:00,3,heavy rains,"East District,East District",Sikkim,"Pedong recorded 60 cms on 3rd, 70cms in 4th,76 cms on 5th, Sankos recieved 76cms on 3rd, 64 cms on 4th,40 cms on 5th. The havoc caused beggars description the area affected presenting a picture of death,devastation all round",IMD
574,UEI-IMD-FL-1968-0008,06/11/1968 00:00,06/11/1968 00:00,1,heavy rains,,Andhra Pradesh,,IMD
575,UEI-IMD-FL-1969-0001,08/06/1969 00:00,13/07/1969 00:00,36,floods,,Assam,"Rendered 5 lakhs of people homeless,inundated vast areas of jute,paddy crops",IMD
576,UEI-IMD-FL-1969-0002,15/07/1969 00:00,22/07/1969 00:00,8,floods,"Bidar, Kalaburagi, Belagavi, Yadgir, Bagalkote, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttara Kannada, Haveri, Chitradurga, Davanagere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural Rural, Dakshina Kannada, Bangalore, Kodagu, Chamarajanagara, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura, Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur","Karnataka, Kerala",,IMD
577,UEI-IMD-FL-1969-0003,22/07/1969 00:00,29/07/1969 00:00,8,floods,"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Baudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagapur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Debagarh, Sambalpur, Churu, Jhunjhunun, Jaisalmer, Sikar, Alwar, Jaipur, Jodhpur, Bharatpur, Nagaur, Dausa, Karauli, Dhaulpur, Barmer, Sawai Madhopur, Tonk, Pali, Bhilwara, Jalor, Bundi, Kota, Sirohi, Baran, Udaipur, Jhalawar, Dungarpur, Banswara, Ajmer, Rajsamand, Chittaurgarh, Ganganagar, Hanumangarh, Bikaner, Pratapgarh","Odisha, Rajasthan",,IMD
578,UEI-IMD-FL-1969-0004,02/08/1969 00:00,03/08/1969 00:00,2,heavy rains,"Lahul & Spiti, Chamba, Kangra, Kullu, Mandi, Kinnaur, Una, Shimla, Solan, Sirmaur, Hamirpur, Bilaspur, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Shrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagarnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar, Auraiya, Faizabad, Kanpur Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipur, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh","Himachal Pradesh, Uttar Pradesh","Disrupted telecommunications,road traffic in the Mandi region of Himachal Pradesh,caused floods in the Beas,Ravi inundating vast areas in Hoshiarpur. Kapurthala,Gurdaspur district of Punjab",IMD
579,UEI-IMD-FL-1969-0005,01/08/1969 00:00,22/08/1969 00:00,22,floods,"Kupwara, Bandipore, Baramula, Ganderbal, Anantnag, Kishtwar, Srinagar, Badgam, Pulwama, Punch, Shupiyan, Kulgam, Rajouri, Ramban, Reasi, Doda, Jammu, Kathua, Udhampur, Samba, Muzaffarabad, Mirpur, North, North East, West, East, South West, Central, New Delhi, South, Shahdara, South East, North West, Gurdaspur, Hoshiarpur, Amritsar, Jalandhar, Tarn Taran, Rupnagar, Shahid Bhagat Singh Nagar, Fazilka, Moga, Ludhiana, Sahibzada Ajit Singh Nag*, Faridkot, Fatehgarh Sahib, Sri Muktsar Sahib, Sangrur, Barnala, Bathinda, Patiala, Mansa, Firozpur, Pathankot, Kapurthala","Jammu and Kashmir, Delhi, Punjab","Affecting vast areas in Uttar Pradesh, Bihar, North Bengal, Assam,Rajasthan. The Jammu flooded many villages near Delhi",IMD
580,UEI-IMD-FL-1969-0006,01/09/1969 00:00,15/09/1969 00:00,15,floods,,Maharastra,"Caused extensive damage to agricultural lands,properties, destroying standing crops estimated to be worth Rs. 4 crores",IMD
581,UEI-IMD-FL-1969-0007,01/08/1969 00:00,14/09/1969 00:00,45,floods,,Gujarat,,IMD
582,UEI-IMD-FL-1969-0008,15/09/1969 00:00,22/09/1969 00:00,8,floods,"Gondiya, Bhandara, Jalgaon, Wardha, Buldana, Akola, Nashik, Gadchiroli, Washim, Chandrapur, Yavatmal, Jalna, Ahmadnagar, Hingoli, Nanded, Parbhani, Pune, Bid, Mumbai, Latur, Osmanabad, Solapur, Satara, Ratnagiri, Sangli, Kolhapur, Sindhudurg, Thane, Palghar, Nandurbar, Amravati, Dhule, Nagpur, Aurangabad, Raigarh, Mumbai Suburban, Adilabad, Hyderabad, Jagitial, Jangoan, Mulugu, Jogulamba Gadwal, Kamareddy, Karimnagar, Khammam, Kumuram Bheem Kumuram Bheem Asifabad, Mahabubabad, Mahabubnagar, Mancherial, Medak, Medchal Malkajgiri, Nagarkurnool, Nalgonda, Nirmal, Nizamabad, Peddapalli, Rajanna Sircilla, Ranga Reddy, Sangareddy, Siddipet, Suryapet, Vikarabad, Wanaparthy, Warangal Rural, Warangal Rural, Warangal Rural, Warangal Urban Rural, Warangal Rural, Warangal Rural, Warangal Rural, Warangal Urban Urban, Yadadri Bhuvanagiri, Bhadradri Kothagudem, Jayashankar, Narayanpet","Maharastra, Telangana",,IMD
